Open,High,Low,Adj Close,Volume,class
1252.5,1252.5,1245.75,1140.785522,782754,UP
1257,1257,1237.150024,1138.640015,1334642,DOWN
1245.525024,1270.5,1240,1152.955078,2438740,UP
1259.949951,1263.449951,1246,1143.22876,2435396,DOWN
1248.275024,1267,1246.375,1146.49353,1599558,UP
1255,1263.199951,1233,1130.009033,1449230,DOWN
1245,1256.099976,1236.875,1139.301636,2010356,UP
1247.349976,1257,1226,1130.831177,4332866,DOWN
1239.5,1242,1210.75,1112.337158,1985014,DOWN
1220,1227.150024,1213.525024,1118.045654,1923006,UP
1224.800049,1227,1212.5,1115.236938,1300778,DOWN
1220.5,1221.724976,1212.199951,1109.437744,1684686,DOWN
1215,1227.5,1214.025024,1117.223389,1389188,UP
1220.525024,1233.974976,1220.525024,1120.62561,1773616,UP
1227.5,1234.974976,1225.625,1122.976929,1222010,UP
1230,1257.224976,1228.375,1141.744751,1527746,UP
1256.5,1277.5,1253.5,1163.594482,5006356,UP
1274.099976,1304.474976,1261.5,1168.343506,4066320,UP
1277.525024,1295,1277.525024,1180.124634,1218590,UP
1292.5,1307.474976,1288.775024,1184.759766,1443016,UP
1297.5,1306.824951,1290,1181.129395,1514144,DOWN
1296,1297.900024,1285.5,1179.896362,86822,DOWN
1292,1314.5,1273.724976,1181.722778,1886088,UP
1310,1310.449951,1284.525024,1177.385132,1339020,DOWN
1289.25,1307,1277.5,1172.119263,1105106,DOWN
1267.550049,1284.574951,1258.949951,1162.480835,3007552,DOWN
1269,1296.574951,1265.150024,1183.291626,1409270,UP
1293,1310,1290.849976,1197.897827,1137252,UP
1300.650024,1320,1300.650024,1201.46936,1592634,UP
1312,1313.425049,1289.425049,1191.785522,741882,DOWN
1304.25,1337,1303.375,1202.453735,1468422,UP
1316.199951,1318.349976,1301.400024,1199.683716,666886,DOWN
1310,1335.900024,1305.875,1220.494019,1377000,UP
1335,1384,1333.025024,1240.869629,2696892,UP
1361.5,1379.5,1359.125,1252.293823,1402252,UP
1375,1375,1359.650024,1252.93457,1152432,UP
1361.099976,1363,1346.675049,1240.274292,1356566,DOWN
1351.025024,1388.699951,1351.025024,1263.259766,1496996,UP
1378.275024,1378.275024,1353.75,1242.953247,1657252,DOWN
1353,1377.5,1350.675049,1238.69458,6670834,DOWN
1355,1381.5,1343.474976,1257.627563,1653482,UP
1374.050049,1374.050049,1351.800049,1239.610596,1325464,DOWN
1357.5,1363.449951,1347.650024,1237.847778,1014498,DOWN
1350.5,1350.5,1333,1223.882813,1527740,DOWN
1336.5,1354.849976,1336.199951,1227.407959,1822624,UP
1340.5,1346.5,1334.5,1227.682739,793470,UP
